buffer_Lot_Number,description,pH,Conductivity
001,Adherent Growth Media for HK Cells,7.1,150
002,Suspension Growth Media for HK Cells,7.3,100
003,Lysis Buffer,7.2,1500
004,Harvest Diafiltration Buffer,6.8,88
005,Column 1 Wash Buffer,7.0,100
006,Column 1 Equilibration Buffer,7.1,98
007,Column 1 Elution Buffer,7.0,200
008,Column 2 Wash Buffer,7.1,100
009,Column 2 Equilibration Buffer,7.2,98
010,Column 2 Elution Buffer,7.3,200
011,Formulation Buffer,7.0,50
012,Adherent Growth Media for HK Cells,7.0,150
013,Suspension Growth Media for HK Cells,7.5,100
014,Lysis Buffer,7.2,1500
015,Harvest Diafiltration Buffer,6.8,95
016,Column 1 Wash Buffer,7.0,100
017,Column 1 Equilibration Buffer,7.1,98
018,Column 1 Elution Buffer,7.0,200
019,Column 2 Wash Buffer,7.1,100
020,Column 2 Equilibration Buffer,7.2,98
021,Column 2 Elution Buffer,7.3,200
022,Formulation Buffer,7.0,48
023,Adherent Growth Media for HK Cells,6.9,148
024,Suspension Growth Media for HK Cells,7.1,102
025,Lysis Buffer,7.2,1477
026,Harvest Diafiltration Buffer,6.8,102
027,Column 1 Wash Buffer,7.0,100
028,Column 1 Equilibration Buffer,7.1,98
029,Column 1 Elution Buffer,7.0,200
030,Column 2 Wash Buffer,7.1,100
031,Column 2 Equilibration Buffer,7.2,98
032,Column 2 Elution Buffer,7.3,200
033,Formulation Buffer,7.0,53
034,Adherent Growth Media for HK Cells,6.7,165
035,Suspension Growth Media for HK Cells,6.8,98
036,Lysis Buffer,7.2,1680
037,Harvest Diafiltration Buffer,6.8,110
038,Column 1 Wash Buffer,7.0,100
039,Column 1 Equilibration Buffer,7.1,98
040,Column 1 Elution Buffer,7.0,200
041,Column 2 Wash Buffer,7.1,100
042,Column 2 Equilibration Buffer,7.2,98
043,Column 2 Elution Buffer,7.3,200
044,Formulation Buffer,7.0,49
045,Adherent Growth Media for HK Cells,7.2,115
046,Suspension Growth Media for HK Cells,7.2,120
047,Lysis Buffer,7.2,1523
048,Harvest Diafiltration Buffer,7.1,104
049,Column 1 Wash Buffer,7.0,100
050,Column 1 Equilibration Buffer,7.1,98
051,Column 1 Elution Buffer,7.0,200
052,Column 2 Wash Buffer,7.1,100
053,Column 2 Equilibration Buffer,7.2,98
054,Column 2 Elution Buffer,7.1,200
055,Formulation Buffer,7.0,51
056,Adherent Growth Media for HK Cells,7.2,103
057,Suspension Growth Media for HK Cells,7.2,114
058,Lysis Buffer,7.2,1610
059,Harvest Diafiltration Buffer,7.1,98
060,Column 1 Wash Buffer,7.0,100
061,Column 1 Equilibration Buffer,7.1,98
062,Column 1 Elution Buffer,7.0,200
063,Column 2 Wash Buffer,7.1,100
064,Column 2 Equilibration Buffer,7.2,98
065,Column 2 Elution Buffer,7.1,200
066,Formulation Buffer,7.0,53
067,Adherent Growth Media for HK Cells,7.2,123
068,Suspension Growth Media for HK Cells,7.2,98
069,Lysis Buffer,7.2,1420
070,Harvest Diafiltration Buffer,7.1,105
071,Column 1 Wash Buffer,7.0,100
072,Column 1 Equilibration Buffer,7.1,98
073,Column 1 Elution Buffer,7.0,200
074,Column 2 Wash Buffer,7.1,100
075,Column 2 Equilibration Buffer,7.2,98
076,Column 2 Elution Buffer,7.1,200
077,Formulation Buffer,7.0,47
078,Adherent Growth Media for HK Cells,7.2,100
079,Suspension Growth Media for HK Cells,7.2,100
080,Lysis Buffer,7.2,1400
081,Harvest Diafiltration Buffer,7.1,80
082,Column 1 Wash Buffer,7.0,100
083,Column 1 Equilibration Buffer,7.1,98
084,Column 1 Elution Buffer,7.0,200
085,Column 2 Wash Buffer,7.1,100
086,Column 2 Equilibration Buffer,7.2,98
087,Column 2 Elution Buffer,7.1,200
088,Formulation Buffer,7.0,58
